Fatalities,Injuries,Distance,Population of Municipality,Country
0,0,46.70473,61696,New Zealand
6,0,46.60337,0,Nepal
0,0,46.46354,132842,India
0,0,46.37081,12874,United States
0,0,46.36778,223523,India
15,0,46.3149,90894,Myanmar (Burma)
0,0,46.27205,1041,Canada
13,0,45.94088,2571,India
5,0,45.86906,22903,Nepal
1,0,45.7667,76255,Papua New Guinea
0,0,45.69792,26582,Ecuador
0,0,45.68706,91136,China
2,0,45.68005,15855,Malaysia
0,0,45.59743,14596,Fiji
0,0,45.59728,3532,United States
6,0,45.49995,0,China
0,0,45.49031,4157,India
5,0,45.47475,0,Afghanistan
0,0,45.4148,7176,India
0,0,45.33486,7176,India
0,0,45.24129,92113,India
3,0,45.02017,9073,Nepal
0,0,45.01051,0,Nepal
0,0,44.8459,3532,United States
4,0,44.70334,1054,Papua New Guinea
3,0,44.5643,0,Nepal
0,0,44.45488,1495,India
0,0,44.34393,7176,India
0,0,44.26251,485,United States
0,0,44.18956,4428,New Zealand
0,0,44.14758,37475,India
0,0,42.03089,12871,India
8,0,44.03804,5026,Nepal
0,0,43.86029,7176,India
0,0,43.81566,15582,Australia
0,0,43.72365,20908,Nepal
0,0,43.67228,0,India
8,0,43.60693,249219,Brazil
1,0,43.53546,223523,India
0,0,43.48816,54386,Myanmar (Burma)
14,0,43.27711,2324,Nepal
24,0,43.27123,0,China
0,0,43.21585,44632,Nepal
5,0,43.1759,64468,India
0,0,43.1716,228212,Malaysia
0,0,43.16422,17123,India
0,0,43.16287,12871,India
1,0,43.13552,12272,Brazil
0,0,43.11128,12871,India
0,0,43.03855,14927,India
0,0,42.88068,8767,Nepal
0,0,42.81245,3532,United States
0,0,42.80947,0,China
0,0,42.70454,8797,India
0,0,42.60033,16330,United States
1,0,42.26835,0,Indonesia
0,0,42.21282,6127,Australia
28,0,42.08436,0,Indonesia
0,0,42.04851,0,China
0,0,41.98041,12874,United States
0,0,41.9374,0,China
0,0,41.90996,14182,India
0,0,41.89885,27949,Fiji
0,0,41.87711,0,China
0,0,41.86174,37475,India
0,0,41.69882,1094,United States
0,0,41.63737,105622,Malaysia
0,0,41.62945,2151,New Zealand
0,0,41.54001,2991,United States
1,0,41.4973,0,Kyrgyzstan
0,0,41.47439,3068,United States
0,0,41.44299,4407,United States
0,0,41.41265,8341,India
0,0,41.40142,12874,United States
0,0,41.28432,23296,Nepal
0,0,41.26849,25758,India
0,0,41.25917,3532,United States
0,0,41.15433,2005,Pakistan
10,0,41.02145,0,China
6,0,41.00006,44632,Nepal
9,0,40.97918,22903,Nepal
0,0,40.81927,0,Nepal
0,0,40.81788,0,Nepal
0,0,40.80879,2571,India
0,0,40.71672,12871,India
0,0,40.70609,14206,United States
0,0,40.69771,3250,Nepal
0,0,40.47829,21882,North Korea
0,0,40.42735,223523,India
12,2,40.41216,0,Nepal
0,0,40.22275,0,Nepal
0,0,40.08056,92113,India
0,0,40.07703,1495,India
0,0,40.0566,92113,India
0,0,40.05006,0,Pakistan
0,0,40.02455,4038,Canada
0,0,39.73504,17103,India
0,0,39.70921,223523,India
0,0,39.68219,9073,Nepal
0,0,39.51186,15118,India
0,0,39.51186,15118,India
18,0,39.5076,0,Indonesia
0,0,39.43196,20908,Nepal
0,0,39.42373,1886,United Kingdom
0,0,39.35619,485,United States
0,0,39.34633,107157,Nepal
6,0,39.27253,20908,Nepal
5,2,39.26988,251900,China
0,0,39.23944,1886,United Kingdom
0,0,39.22402,4885,United States
0,0,39.1725,13399,Australia
0,0,39.14705,14206,United States
4,0,39.06811,0,Indonesia
0,0,39.02032,1495,India
19,0,38.93001,20679,Ethiopia
0,0,38.70779,12562,Australia
0,0,38.63928,4407,United States
0,0,38.60274,1137,United States
0,0,38.59986,42284,Fiji
3,0,38.58572,2571,India
0,0,38.5554,7528,India
0,0,38.53823,1045,United States
0,0,38.53587,56859,Chile
0,0,38.51851,4038,Canada
0,0,38.50248,5046,United States
0,0,38.48948,5993,Australia
0,0,38.48521,485,United States
2,0,38.43651,13865,India
0,0,38.38512,4348,United States
0,0,38.37584,3962,India
0,0,38.28601,1045,United States
10,0,38.28278,0,Nepal
0,0,38.27504,485,United States
0,0,38.25954,0,Nepal
0,0,38.06464,228212,Malaysia
4,3,38.03153,0,China
10,0,37.86243,23416,Nepal
0,0,37.85497,76255,Indonesia
0,0,37.78098,2324,Canada
12,0,37.72818,0,China
0,0,37.59933,9232,United Kingdom
5,0,37.59576,0,China
0,0,37.5595,0,Nepal
3,0,37.48857,18652,Brazil
0,0,37.34675,14305,Nigeria
0,0,37.34675,14305,Nigeria
0,0,37.17407,13000,New Zealand
0,0,37.15519,1191,United States
0,0,37.11379,5858,United States
0,0,37.06023,19599,Taiwan
0,0,37.04628,17123,India
4,0,36.97843,0,Nepal
0,0,36.94258,7331,India
0,0,36.91599,455173,Indonesia
4,0,36.88261,10889,Brazil
6,0,1.08737,0,China
0,0,36.791,31495,Nepal
0,0,36.77667,7331,India
2,1,36.75939,0,Nepal
0,0,36.71662,26550,New Zealand
2,0,36.6114,0,China
0,0,36.50141,1965,United States
0,0,36.37629,1441,Honduras
1,1,36.36715,32523,Bangladesh
39,0,36.32067,71578,Japan
0,0,36.23231,1137600,China
0,0,36.15885,0,Nepal
0,0,36.14855,1546,Australia
0,0,36.13089,4537,Australia
0,0,36.10002,22903,Nepal
0,0,36.09995,223523,India
4,0,36.09394,0,India
0,0,36.08008,31495,Nepal
0,0,36.06463,2324,Nepal
0,0,36.04819,0,Nepal
2,0,36.03051,0,India
0,0,35.98906,48629,Myanmar (Burma)
0,0,35.98308,1965,United States
0,0,35.97774,1690,Iceland
16,0,35.89198,0,Laos
0,0,35.81177,23296,Nepal
14,0,35.78457,9152,Kenya
0,0,35.76707,15000,Chile
0,0,35.65711,2192,Canada
0,0,35.60787,23296,Nepal
0,0,35.58303,31978,India
2,0,35.52835,223523,India
5,0,35.51391,0,Myanmar
0,0,35.502,61696,New Zealand
0,0,35.48545,0,Pakistan
8,0,35.46494,27686,Madagascar
0,0,35.44437,77366,Fiji
0,0,35.34908,3532,United States
0,0,35.34908,3532,United States
0,0,35.30636,0,Vietnam
0,0,35.28743,0,Nepal
4,0,35.22153,253788,Bangladesh
0,0,35.1654,0,Pakistan
0,0,35.10781,0,India
0,0,35.10224,1073,Kenya
0,0,35.00505,1035,Nepal
0,0,34.98625,23693,Nepal
0,0,34.98416,27949,Fiji
1,0,34.92794,7331,India
9,0,34.84868,23693,Nepal
0,0,34.82356,7979,United States
2,0,34.79312,3250,Nepal
0,0,34.79151,26550,New Zealand
0,0,34.74001,61696,New Zealand
1,0,34.59631,7750,India
0,0,34.47722,0,Indonesia
0,0,34.46887,485,United States
7,0,34.4197,23693,Nepal
1,0,34.39049,36061,Kenya
0,0,33.94603,5114,Ecuador
0,0,34.38411,31495,Nepal
0,0,34.35735,7979,United States
0,0,34.34606,17567,Nepal
0,0,34.34606,17567,Nepal
0,0,34.33461,1795,United States
1,0,34.26608,15000,Chile
3,0,34.24094,0,Nepal
0,0,34.24073,0,Taiwan
4,0,34.1929,253788,Bangladesh
8,0,34.17739,92294,Nepal
0,0,34.11263,2370,United States
0,0,34.09967,1795,United States
0,0,34.03805,0,Nepal
0,0,34.03469,17123,India
3,0,33.93016,0,Philippines
3,0,33.91881,0,Nepal
0,0,33.62719,0,Pakistan
0,0,33.58845,19599,Taiwan
0,0,33.56105,5993,Australia
0,0,33.51924,15968,Trinidad and Tobago
0,0,33.49872,5026,India
0,0,33.47473,50293,Ghana
0,0,33.45684,7979,United States
3,0,33.40841,135477,Vietnam
17,0,33.37434,0,China
0,0,33.34168,6318,New Zealand
0,0,33.29411,1347,United States
1,0,33.26413,0,Nepal
0,0,33.23722,19151,Brunei
0,0,33.22845,20908,Nepal
6,4,33.20358,0,China
0,0,33.20312,92113,India
0,0,33.1551,4154,United States
0,0,33.15201,21867,Nepal
0,0,33.10893,15968,Trinidad and Tobago
0,0,33.10893,15968,Trinidad and Tobago
6,0,32.99747,6902,Brazil
0,0,32.99747,6902,Brazil
0,0,32.99063,4052,Australia
0,0,32.96402,5827,Nicaragua
2,0,32.91524,0,Nepal
0,0,32.90326,29331,Pakistan
0,0,32.86511,0,China
0,0,32.7993,22903,Nepal
0,0,32.77401,5827,Nicaragua
26,0,32.75383,92294,Nepal
0,0,32.74684,0,Nepal
0,0,32.73394,8160,India
0,0,32.7157,14206,United States
1,0,32.71144,0,Nepal
0,0,32.71031,0,Nepal
0,0,32.69694,5827,Nicaragua
0,0,32.69153,0,Indonesia
0,0,32.6879,9073,Nepal
60,0,32.67517,92294,Nepal
0,0,32.66456,14206,United States
0,0,32.66264,725000,Pakistan
1,0,32.6464,9813,Canada
6,0,32.54732,253788,Bangladesh
1,0,32.54732,253788,Bangladesh
0,0,32.50156,223523,India
0,0,32.48182,7176,India
0,0,31.24511,5827,Nicaragua
0,0,32.44905,0,Pakistan
0,0,32.43398,8364,India
0,0,32.38063,0,Pakistan
0,0,32.33243,1100,Australia
2,0,32.28507,0,Nepal
0,0,32.22177,21867,Nepal
0,0,32.15868,3068,United States
71,4,32.12708,21407,Mexico
0,0,32.08945,20908,Nepal
0,0,32.04254,10414,Pakistan
0,0,32.0185,18317,Nepal
0,0,32.01702,42284,Fiji
5,0,31.96188,15722,Madagascar
12,3,31.87601,0,China
0,0,31.8401,86685,Rwanda
0,0,31.78115,14206,United States
0,0,31.65457,47587,Sri Lanka
0,0,31.6121,1443,United States
4,0,31.60993,141251,Bolivia
0,0,31.55091,8824,Malawi
1,0,31.54629,107157,Nepal
5,0,31.54629,107157,Nepal
7,0,31.52755,0,Nepal
0,0,31.43287,50206,India
0,0,31.38223,0,China
